,Unnamed: 0,vol_id,page_seq,entity,type,lat,lng,amount
1313230,1313279,uc1.b3711121,202,Germany,LOCATION,51.0834196,10.4234469,2.0
1902688,1902778,mdp.39015053394295,137,Memphis,LOCATION,35.1335022,-89.9668758,1.0
32473,32474,uc1.b4450881,85,United States,LOCATION,39.7837304,-100.445882,9.0
242426,242428,pst.000005442492,136,Nuremburg,LOCATION,40.9451663,-76.1662751,1.0
1608129,1608178,mdp.39015028718305,48,Paris,LOCATION,48.8588897,2.3200410217200766,15.0
2239862,2239957,mdp.39015020852250,291,Charlottesville,LOCATION,38.029306,-78.4766781,1.0
176590,176591,emu.10002331914,132,Calias,LOCATION,52.281307,-1.3530116,2.0
1688929,1689016,mdp.39015008240296,64,Pelham Parkway,LOCATION,40.8585859,-73.8558623,1.0
1191208,1191233,mdp.39015001511172,256,Cuba,LOCATION,23.0131338,-80.8328748,3.0
762430,762449,uc2.ark:/13960/t2n58d91g,21,Hollyville,LOCATION,38.6717793,-75.2421326,1.0
492898,492909,uc1.$b312452,233,Warrensburg,LOCATION,38.7624373,-93.7409596,1.0
1410685,1410734,uc1.$b312802,87,Central City,LOCATION,42.2039609,-91.5243615,1.0
1306142,1306191,uva.x030788124,305,Richmond,LOCATION,37.5385087,-77.43428,5.0
1723429,1723516,mdp.39015011359729,46,Lenox,LOCATION,40.8816547,-94.5619095,1.0
1002411,1002436,uc1.b3711043,381,Kerman,LOCATION,29.571858,57.301047,3.0
417441,417450,uva.x004346812,23,Atlanta,LOCATION,33.7489924,-84.3902644,8.0
331294,331301,uc2.ark:/13960/t02z12t8w,293,Spain,LOCATION,39.3260685,-4.8379791,1.0
75611,75612,uc1.32106007393728,103,Rufus,LOCATION,45.6948466,-120.7358936,1.0
1430194,1430243,mdp.39015057601315,10,New York,LOCATION,40.7127281,-74.0060152,13.0
1882621,1882710,mdp.39015057621065,63,Cape Town,LOCATION,-33.928992,18.417396,1.0
493730,493741,emu.010001355555,63,South,LOCATION,36.638392,127.6961188,14.0
129232,129233,uc2.ark:/13960/t50g3hr1p,96,South,LOCATION,36.638392,127.6961188,14.0
2802860,2802984,uc2.ark:/13960/t8mc8s37n,166,Georgia,LOCATION,32.3293809,-83.1137366,4.0
330263,330270,uc2.ark:/13960/t02z12t8w,235,Topeka,LOCATION,39.049011,-95.677556,1.0
2740003,2740127,uiug.30112002544713,152,Twinbridge,LOCATION,39.9848865,-75.0223498,1.0
2654008,2654123,mdp.39015013331627,168,New York,LOCATION,40.7127281,-74.0060152,13.0
2490612,2490720,uc2.ark:/13960/t1cj8877v,114,South,LOCATION,36.638392,127.6961188,14.0
2590111,2590226,mdp.39015014862471,188,New Orleans,LOCATION,29.9759983,-90.0782127,7.0
